"anio";"codigo";"localidad";"EDAD_EPIDEMIO";"sexo";"poblacion"
2022;"30";"30-ENTRE RÍOS";"7.30-34";"Mujeres";50410
2022;"30";"30-ENTRE RÍOS";"7.30-34";"Varones";50508
2022;"30";"30-ENTRE RÍOS";"8.35-39";"Ambos sexos";94603
2022;"30";"30-ENTRE RÍOS";"8.35-39";"Mujeres";47785
2022;"30";"30-ENTRE RÍOS";"8.35-39";"Varones";46818
2022;"30";"30-ENTRE RÍOS";"9.40-44";"Ambos sexos";93890
2022;"30";"30-ENTRE RÍOS";"9.40-44";"Mujeres";47572
2022;"30";"30-ENTRE RÍOS";"9.40-44";"Varones";46318
2022;"34";"34-FORMOSA";"1.0-4";"Ambos sexos";56122
2022;"34";"34-FORMOSA";"1.0-4";"Mujeres";27238
2022;"34";"34-FORMOSA";"1.0-4";"Varones";28884
2022;"34";"34-FORMOSA";"10.45-49";"Ambos sexos";33083
2022;"34";"34-FORMOSA";"10.45-49";"Mujeres";17113
2022;"34";"34-FORMOSA";"10.45-49";"Varones";15970
2022;"34";"34-FORMOSA";"11.50-54";"Ambos sexos";29232
2022;"34";"34-FORMOSA";"11.50-54";"Mujeres";15028
2022;"34";"34-FORMOSA";"11.50-54";"Varones";14204
2022;"34";"34-FORMOSA";"12.55-59";"Ambos sexos";26865
2022;"34";"34-FORMOSA";"12.55-59";"Mujeres";13627
2022;"34";"34-FORMOSA";"12.55-59";"Varones";13238
2022;"34";"34-FORMOSA";"13.60-64";"Ambos sexos";24275
2022;"34";"34-FORMOSA";"13.60-64";"Mujeres";12488
2022;"34";"34-FORMOSA";"13.60-64";"Varones";11787
2022;"34";"34-FORMOSA";"14.De 65 anios y mas";"Ambos sexos";59076
2022;"34";"34-FORMOSA";"14.De 65 anios y mas";"Mujeres";32161
2022;"34";"34-FORMOSA";"14.De 65 anios y mas";"Varones";26915
2022;"34";"34-FORMOSA";"15.TODAS LAS EDADES";"Ambos sexos";614706
2022;"34";"34-FORMOSA";"15.TODAS LAS EDADES";"Mujeres";308869
2022;"34";"34-FORMOSA";"15.TODAS LAS EDADES";"Varones";305837
2022;"34";"34-FORMOSA";"2.5-9";"Ambos sexos";56131
2022;"34";"34-FORMOSA";"2.5-9";"Mujeres";27274
2022;"34";"34-FORMOSA";"2.5-9";"Varones";28857
2022;"34";"34-FORMOSA";"3.10-14";"Ambos sexos";54078
2022;"34";"34-FORMOSA";"3.10-14";"Mujeres";26245
2022;"34";"34-FORMOSA";"3.10-14";"Varones";27833
2022;"34";"34-FORMOSA";"4.15-19";"Ambos sexos";53363
2022;"34";"34-FORMOSA";"4.15-19";"Mujeres";25907
2022;"34";"34-FORMOSA";"4.15-19";"Varones";27456
2022;"34";"34-FORMOSA";"5.20-24";"Ambos sexos";55324
2022;"34";"34-FORMOSA";"5.20-24";"Mujeres";26793
2022;"34";"34-FORMOSA";"5.20-24";"Varones";28531
2022;"34";"34-FORMOSA";"6.25-29";"Ambos sexos";53630
2022;"34";"34-FORMOSA";"6.25-29";"Mujeres";26261
2022;"34";"34-FORMOSA";"6.25-29";"Varones";27369
